bank,file_start,file_end,cpu_start,cpu_end,classification,status,confidence,source_sha256,notes
0x00,0x000000,0x003fff,0x0000,0x3fff,header-and-code,fingerprinted,high,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=979077c1267386064f5a3fa42b7d3a8e668d2df0c3e06c6bae26fdb1247c6be7; entropy=7.148893; unique_bytes=256; zero_bytes=364; ff_bytes=260
0x01,0x004000,0x007fff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=c4247538d76f301363728e4a7f89190700432132451f33d89937ece3617c03c9; entropy=7.254003; unique_bytes=256; zero_bytes=583; ff_bytes=82
0x02,0x008000,0x00bfff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=533b5a6c7533f6f3f40b5fc1d17ffba84b5b7583cada723fc1e3d42577692c55; entropy=6.978919; unique_bytes=255; zero_bytes=379; ff_bytes=257
0x03,0x00c000,0x00ffff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=dfd68c0a8bc77fb0e16f1d079a38324d9b23623f5c3c7cbfadac8150026683de; entropy=7.349282; unique_bytes=256; zero_bytes=395; ff_bytes=262
0x04,0x010000,0x013fff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=f77b18e01e1397725a57bc688231a5c52ed8dd628300dfa77764086b92f4c86a; entropy=6.778047; unique_bytes=256; zero_bytes=2173; ff_bytes=310
0x05,0x014000,0x017fff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=dc051279962d56f656e9806f91b4607e9989c2a9cf7839a89e9a9f07816c8d35; entropy=6.30234; unique_bytes=255; zero_bytes=804; ff_bytes=178
0x06,0x018000,0x01bfff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=2c2edb33e8e53d73c432225f1901aba7298086afd1468a87e51454555d366cf1; entropy=7.250023; unique_bytes=256; zero_bytes=367; ff_bytes=166
0x07,0x01c000,0x01ffff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=3f7b33a64a54438d98db710ffa313171927eda4d30f4c75b17cce22a15e77268; entropy=7.184923; unique_bytes=255; zero_bytes=370; ff_bytes=217
0x08,0x020000,0x023fff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=946c2e747f7735488c86982d3e6fa15c887240e80b0e84c25858b285d28779a1; entropy=7.059168; unique_bytes=256; zero_bytes=309; ff_bytes=287
0x09,0x024000,0x027fff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=73b926764a8fab48eee70990edf41cce53b112705bdb3d97014f96a6bfa002bf; entropy=7.80888; unique_bytes=256; zero_bytes=13; ff_bytes=288
0x0a,0x028000,0x02bfff,0x4000,0x7fff,unclassified,fingerprinted,low,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,bank_sha256=bb56ce96522f1ced9056016e80fe4599a5e829ab181f29ac1009c755c75a2715; entropy=7.840146; unique_bytes=255; zero_bytes=11; ff_bytes=283
